Date,AAPL,AMZN,KO,MSFT,NKE
"2011-07-06",12.562857,214.190002,34.264999,26.33,23.0875
"2011-07-07",12.757143,216.740005,34.375,26.77,23.415001
"2011-07-08",12.846786,218.279999,34.34,26.92,23.309999
"2011-07-11",12.642858,212.550003,34.049999,26.629999,22.8575
"2011-07-12",12.633928,211.229996,33.924999,26.540001,22.807501
"2011-07-13",12.786428,213.5,34.029999,26.629999,23.012501
"2011-07-14",12.7775,210.380005,33.834999,26.469999,22.99
"2011-07-15",13.032857,212.869995,33.764999,26.780001,22.924999
"2011-07-18",13.35,211.529999,33.560001,26.59,22.66
"2011-07-19",13.458928,218.059998,34.66,27.540001,22.684999
"2011-07-20",13.817857,215.550003,34.435001,27.059999,22.65
"2011-07-21",13.831786,213.210007,34.669998,27.1,22.959999
"2011-07-22",14.046429,216.520004,34.865002,27.530001,22.9275
"2011-07-25",14.232142,213.490005,34.630001,27.91,22.7325
"2011-07-26",14.4075,214.179993,34.595001,28.08,22.5825
"2011-07-27",14.021071,222.520004,34.345001,27.33,22.18
"2011-07-28",13.993571,223.899994,34.404999,27.719999,22.620001
"2011-07-29",13.945714,222.520004,34.005001,27.4,22.5375
"2011-08-01",14.169642,221.320007,33.865002,27.27,22.334999
"2011-08-02",13.889643,211.699997,33.535,26.799999,21.2775
"2011-08-03",14.020357,209.960007,34.200001,26.92,21.77
"2011-08-04",13.4775,201.479996,32.91,25.940001,20.387501
"2011-08-05",13.343572,202.699997,33.384998,25.68,20.967501
"2011-08-08",12.614643,193.699997,32.560001,24.48,19.797501
"2011-08-09",13.3575,205.089996,33.34,25.58,20.625
"2011-08-10",12.988929,194.130005,31.98,24.200001,19.8325
"2011-08-11",13.346429,198.360001,33.235001,25.190001,20.8125
"2011-08-12",13.463928,202.300003,33.57,25.1,21.059999
"2011-08-15",13.693214,202.949997,34.099998,25.51,21.282499
"2011-08-16",13.588572,197.679993,34.084999,25.35,20.805
"2011-08-17",13.587143,195.929993,34.639999,25.25,20.637501
"2011-08-18",13.073215,182.520004,33.880001,24.67,19.98
"2011-08-19",12.715357,178.929993,33.549999,24.049999,19.645
"2011-08-22",12.73,177.539993,33.634998,23.98,19.8125
"2011-08-23",13.342857,193.550003,34.529999,24.719999,20.897499
"2011-08-24",13.435,193.729996,34.84,24.9,21.450001
"2011-08-25",13.347143,192.029999,33.985001,24.57,20.940001
"2011-08-26",13.699286,199.270004,34.25,25.25,21.5725
"2011-08-29",13.9275,206.529999,34.865002,25.84,22.135
"2011-08-30",13.928214,210.919998,34.93,26.23,21.592501
"2011-08-31",13.743929,215.229996,35.224998,26.6,21.6625
"2011-09-01",13.608214,212.539993,35.224998,26.209999,21.637501
"2011-09-02",13.358929,210,34.869999,25.799999,21.01
"2011-09-06",13.562143,216.179993,34.715,25.51,20.940001
"2011-09-07",13.711785,219.899994,35.400002,26,21.627501
"2011-09-08",13.719286,217.259995,35.584999,26.219999,21.3325
"2011-09-09",13.481428,211.389999,34.685001,25.74,20.625
"2011-09-12",13.569285,216.559998,34.689999,25.889999,21.09
"2011-09-13",13.736428,219.529999,34.549999,26.040001,21.455
"2011-09-14",13.903571,222.570007,34.884998,26.5,21.872499
"2011-09-15",14.034286,226.779999,35.509998,26.99,22.01
"2011-09-16",14.303572,239.300003,35.615002,27.120001,22.442499
"2011-09-19",14.701072,241.690002,35.244999,27.209999,22.549999
"2011-09-20",14.766071,233.25,35.325001,26.98,22.365
"2011-09-21",14.719286,231.869995,34.639999,25.99,21.434999
"2011-09-22",14.350715,223.229996,33.91,25.059999,21.045
"2011-09-23",14.439285,223.610001,33.709999,25.059999,22.16
"2011-09-26",14.398929,229.850006,34.380001,25.440001,22.327499
"2011-09-27",14.259286,224.210007,34.785,25.67,22.645
"2011-09-28",14.178928,229.710007,34.029999,25.58,22.1175
"2011-09-29",13.948929,222.440002,34.525002,25.450001,21.997499
"2011-09-30",13.618571,216.229996,33.779999,24.889999,21.377501
"2011-10-03",13.378572,211.979996,32.709999,24.530001,20.762501
"2011-10-04",13.303572,212.5,32.615002,25.34,21.432501
"2011-10-05",13.508928,219.5,32.764999,25.889999,21.950001
"2011-10-06",13.4775,221.509995,32.695,26.34,22.32
"2011-10-07",13.207143,224.740005,32.950001,26.25,22.0375
"2011-10-10",13.886071,231.320007,33.450001,26.940001,22.68
"2011-10-11",14.296071,235.479996,33.400002,27,22.4625
"2011-10-12",14.363929,236.809998,33.740002,26.959999,22.9475
"2011-10-13",14.586785,236.149994,33.700001,27.18,23.0525
"2011-10-14",15.071428,246.710007,33.924999,27.27,23.2425
"2011-10-17",14.999643,242.330002,33.5,26.98,22.754999
"2011-10-18",15.08,243.880005,33.369999,27.309999,22.870001
"2011-10-19",14.236428,231.529999,33.514999,27.129999,22.8225
"2011-10-20",14.118215,233.610001,33.560001,27.040001,22.9725
"2011-10-21",14.031072,234.779999,34.095001,27.16,23.5875
"2011-10-24",14.491786,237.610001,33.935001,27.190001,23.7675
"2011-10-25",14.206072,227.149994,33.474998,26.809999,23.4375
"2011-10-26",14.307143,198.399994,33.735001,26.59,23.5525
"2011-10-27",14.453215,206.779999,34.285,27.25,23.9575
"2011-10-28",14.4625,217.320007,34.465,26.98,24.1875
"2011-10-31",14.456429,213.509995,34.16,26.629999,24.0875
"2011-11-01",14.161072,212.100006,33.52,25.99,23.469999
"2011-11-02",14.193214,215.619995,33.884998,26.01,23.735001
"2011-11-03",14.395357,218.289993,34.325001,26.530001,23.92
"2011-11-04",14.294286,216.479996,33.889999,26.25,23.594999
"2011-11-07",14.276072,217,34.105,26.799999,23.450001
"2011-11-08",14.508214,217.990005,34.325001,27.16,23.855
"2011-11-09",14.117143,211.220001,33.514999,26.200001,23.09
"2011-11-10",13.757857,210.789993,33.695,26.280001,23.48
"2011-11-11",13.736428,217.389999,34.060001,26.91,24.0375
"2011-11-14",13.545,218.929993,33.895,26.76,23.9375
"2011-11-15",13.886786,217.830002,34,26.74,23.987499
"2011-11-16",13.741786,211.990005,33.505001,26.07,23.424999
"2011-11-17",13.478929,204.520004,33.310001,25.540001,22.9725
"2011-11-18",13.390715,197.139999,33.695,25.299999,23.1875
"2011-11-21",13.178928,189.25,32.974998,25,22.764999
"2011-11-22",13.446786,192.339996,32.985001,24.790001,22.907499
"2011-11-23",13.106786,188.990005,32.435001,24.469999,22.7325
"2011-11-25",12.984643,182.399994,32.369999,24.299999,22.57
"2011-11-28",13.432858,194.149994,32.584999,24.870001,23.727501
"2011-11-29",13.328571,188.389999,33.095001,24.84,23.717501
"2011-11-30",13.65,192.289993,33.615002,25.58,24.045
"2011-12-01",13.854643,197.130005,33.415001,25.280001,23.8125
"2011-12-02",13.917857,196.029999,33.189999,25.219999,24.0625
"2011-12-05",14.036072,196.240005,33.154999,25.700001,24.15
"2011-12-06",13.9625,191.990005,33.34,25.66,24.0625
"2011-12-07",13.896071,195.320007,33.389999,25.6,23.9725
"2011-12-08",13.952143,190.479996,33.365002,25.4,23.795
"2011-12-09",14.057858,193.029999,33.785,25.700001,24.42
"2011-12-12",13.994286,189.520004,33.445,25.51,24.237499
"2011-12-13",13.886071,180.509995,33.240002,25.76,23.762501
"2011-12-14",13.578215,180.210007,33.130001,25.59,23.5975
"2011-12-15",13.533571,181.259995,33.445,25.559999,23.52
"2011-12-16",13.607857,181.259995,33.720001,26,23.4175
"2011-12-19",13.650357,179.330002,33.685001,25.530001,23.344999
"2011-12-20",14.141071,182.520004,34.200001,26.030001,23.407499
"2011-12-21",14.158929,174.350006,34.785,25.76,24.0875
"2011-12-22",14.233929,179.029999,34.595001,25.809999,23.705
"2011-12-23",14.404643,177.279999,34.970001,26.030001,24.225
"2011-12-27",14.518929,176.270004,34.939999,26.040001,24.442499
"2011-12-28",14.38,173.889999,34.755001,25.82,24.1075
"2011-12-29",14.468572,173.860001,35.080002,26.02,24.365
"2011-12-30",14.464286,173.100006,34.985001,25.959999,24.092501
"2012-01-03",14.686786,179.029999,35.07,26.77,24.202499
"2012-01-04",14.765715,177.509995,34.849998,27.4,24.555
"2012-01-05",14.929643,177.610001,34.685001,27.68,24.540001
"2012-01-06",15.085714,182.610001,34.465,28.110001,24.497499
"2012-01-09",15.061786,178.559998,34.465,27.74,24.5875
"2012-01-10",15.115714,179.339996,34.669998,27.84,24.6175
"2012-01-11",15.091071,178.899994,34.029999,27.719999,24.535
"2012-01-12",15.049643,175.929993,33.785,28,24.775
"2012-01-13",14.993215,178.419998,33.494999,28.25,24.575001
"2012-01-17",15.167857,181.660004,33.674999,28.26,24.809999
